275,675
275,1275
275,3075
275,5475
275,5675
275,6275
275,7875
475,1075
475,2275
475,3275
475,4275
475,5075
675,2275
675,3875
675,5475
675,7075
675,8075
875,275
875,475
875,675
875,1875
875,2875
875,4675
875,4875
875,5075
875,5275
875,6075
875,6275
1075,1275
1075,1475
1075,3875
1075,4875
1075,6475
1075,7475
1275,3475
1275,4075
1275,7475
1475,1475
1475,2275
1675,3275
1675,3675
1675,6875
1875,875
1875,3275
1875,5075
1875,6075
2075,2475
2075,3075
2075,5875
2075,6875
2275,675
2275,1875
2275,2275
2275,4475
2275,4675
2275,4875
2275,5275
2275,5475
2275,7675
2475,475
2475,875
2475,4275
2475,7275
2475,7875
2675,1675
2675,4275
2675,6675
2875,1275
2875,1475
2875,1675
2875,3875
2875,5275
2875,7075
3075,275
3075,875
3075,2075
3075,7875
3075,8075
3275,675
3275,7275
3475,275
3475,1675
3475,2475
3475,2875
3475,3675
3475,6075
3475,7675
3675,2275
3675,3075
3875,1675
3875,4075
3875,4475
3875,5075
4075,875
4075,1275
4275,2275
4275,5675
4475,2875
4475,5875
4475,6275
4475,6875
4475,7275
4475,7675
4675,1675
4675,4675
4675,5675
4675,6075
4875,2275
4875,2675
4875,3475
4875,4475
4875,5875
4875,6675
4875,7075
4875,7275
5075,1075
5075,1275
5075,4475
5075,5675
5275,1475
5275,1875
5275,3075
5275,3875
5275,5275
5275,6275
5275,6675
5275,7275
5475,275
5475,2875
5475,4475
5475,6275
5675,875
5675,3475
5675,4675
5675,6475
5675,7475
5675,8075
5875,475
5875,3275
5875,4275
6075,475
6075,675
6075,2075
6075,2875
6075,6475
6275,2675
6275,3075
6275,5875
6275,7075
6275,8075
6475,4275
6475,5875
6475,7875
6675,875
6675,4075
6875,1275
6875,2075
6875,2675
6875,6275
6875,6875
6875,7675
7075,675
7075,2675
7075,2875
7075,3075
7075,3475
7075,5275
7075,5875
7275,1875
7275,3875
7275,4075
7275,4275
7275,4675
7275,6275
7275,7675
7475,2475
7475,4075
7475,4875
7475,5475
7475,5675
7475,6075
7675,5075
7675,7475
7875,1675
7875,2075
7875,3875
7875,4275
7875,4675
7875,4875
7875,5875
8075,2475
8075,2675
8075,3875
8075,4075
8075,4675
